id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Alvis;Johnson;Dino_Powlowski51@yahoo.com;amidst parody;2025-05-21T19:36:14;3529;27976
2;Jackie;Adams;Winnifred_Hahn@hotmail.com;times;2025-05-21T11:25:04;27314;4978
3;Cassie;Wyman;Desiree.Farrell@hotmail.com;overload;2025-05-22T06:45:04;6017;6588
4;Eleonore;Ebert;Adelbert.Williamson@gmail.com;oof;2025-05-22T01:30:08;15650;29551
5;Anderson;Cronin;Lilla.Braun75@gmail.com;conservation;2025-05-22T07:45:02;30048;652
6;Eladio;Corwin;Elmer_Heller@yahoo.com;pale whose;2025-05-21T12:06:35;15718;20189
7;Eliseo;Crona;Aaron_Rosenbaum27@yahoo.com;absentmindedly;2025-05-22T06:26:12;12329;8343
8;Ila;Kertzmann;Porter.Kuhlman@gmail.com;through puritan eternity;2025-05-22T01:19:21;7436;6990
9;Imani;Waelchi;Erling_Frami92@yahoo.com;zowie above;2025-05-22T10:06:53;22970;1723
10;Shea;Price;Ada.Runte-Klein@yahoo.com;bookend;2025-05-21T12:52:19;20028;1705
